,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,target
0,2,male,62.0,0,0,10.5,S,1
1,3,male,8.0,4,1,29.125,Q,0
2,3,male,32.0,0,0,56.4958,S,1
3,3,female,20.0,1,0,9.825,S,0
4,2,female,28.0,0,0,13.0,S,1
5,3,female,21.0,0,0,7.75,Q,0
6,3,male,37.0,2,0,7.925,S,0
7,3,female,17.0,0,0,14.4583,C,0
8,3,female,,0,0,7.75,Q,1
9,1,male,46.0,1,0,61.175,S,0
10,3,male,,0,0,15.1,S,0
11,3,male,24.0,0,0,8.05,S,0
12,1,male,29.0,1,0,66.6,S,0
13,1,female,56.0,0,1,83.1583,C,1
14,2,male,31.0,1,1,37.0042,C,0
15,3,male,,0,0,7.75,Q,1
16,2,male,32.0,1,0,26.0,S,1
17,3,male,33.0,1,1,20.525,S,0
18,3,male,59.0,0,0,7.25,S,0
19,1,female,58.0,0,0,26.55,S,1
20,3,female,,1,0,16.1,S,1
21,2,female,3.0,1,2,41.5792,C,1
22,3,male,,0,0,7.8958,C,0
23,1,female,16.0,0,1,57.9792,C,1
24,3,female,45.0,1,4,27.9,S,0
25,1,female,43.0,0,1,211.3375,S,1
26,1,female,30.0,0,0,106.425,C,1
27,3,male,28.5,0,0,16.1,S,0
28,3,male,24.0,0,0,7.7958,S,0
29,2,male,30.0,0,0,13.0,S,0
30,1,male,36.0,0,0,40.125,C,0
31,3,male,25.0,0,0,7.05,S,0
32,3,female,,0,2,7.75,Q,0
33,1,female,50.0,0,0,28.7125,C,0
34,3,female,0.75,2,1,19.2583,C,1
35,1,female,24.0,0,0,49.5042,C,1
36,2,female,24.0,1,2,65.0,S,1
37,1,female,35.0,1,0,52.0,S,1
38,1,female,30.0,0,0,86.5,S,1
39,2,male,23.0,0,0,13.0,S,0
40,3,male,,0,0,7.8958,S,0
41,2,male,27.0,0,0,26.0,S,0
42,2,female,55.0,0,0,16.0,S,1
43,1,female,35.0,1,0,53.1,S,1
44,3,male,,0,0,6.8583,Q,0
45,1,female,,0,0,79.2,C,1
46,3,male,,1,0,19.9667,S,0
47,2,female,23.0,0,0,13.7917,C,1
48,3,female,,0,0,7.7333,Q,1
49,1,female,23.0,1,0,113.275,C,1
50,3,male,51.0,0,0,8.05,S,0
51,2,female,33.0,0,2,26.0,S,1
52,3,female,29.0,0,4,21.075,S,0
53,3,male,,0,0,7.8958,C,0
54,3,male,,8,2,69.55,S,0
55,2,female,2.0,1,1,26.0,S,1
56,2,female,14.0,1,0,30.0708,C,1
57,2,male,54.0,1,0,26.0,S,0
58,3,female,15.0,0,0,8.0292,Q,1
59,1,female,22.0,0,1,55.0,S,1
60,2,male,27.0,0,0,13.0,S,0
61,3,male,,0,0,7.8958,S,0
62,1,male,,0,0,39.6,C,0
63,2,female,28.0,1,0,24.0,C,1
64,3,male,39.0,0,0,7.925,S,0
65,2,male,2.0,1,1,26.0,S,1
66,3,male,24.0,1,0,16.1,S,0
67,3,male,32.0,0,0,7.8958,S,0
68,3,male,45.5,0,0,7.225,C,0
69,2,female,8.0,0,2,26.25,S,1
70,3,male,26.0,1,2,20.575,S,0
71,1,female,29.0,0,0,211.3375,S,1
72,2,female,45.0,1,1,26.25,S,1
73,3,female,36.0,1,0,17.4,S,1
74,1,male,,0,0,26.0,S,0
75,3,female,4.0,0,2,22.025,S,1
76,2,male,16.0,0,0,26.0,S,0
77,1,male,58.0,0,0,29.7,C,0
78,3,male,40.5,0,2,14.5,S,0
79,3,male,25.0,0,0,7.65,S,0
80,3,male,,0,0,7.8958,S,0
81,3,male,51.0,0,0,7.0542,S,0
82,2,male,,0,0,0.0,S,0
83,3,female,17.0,4,2,7.925,S,1
84,3,male,,0,0,6.95,Q,0
85,3,male,40.0,1,1,15.5,Q,0
86,3,male,25.0,0,0,0.0,S,1
87,1,male,47.0,0,0,25.5875,S,0
88,1,male,,0,0,26.55,S,0
89,2,male,44.0,1,0,26.0,S,0
90,1,female,23.0,3,2,263.0,S,1
91,2,male,18.0,0,0,11.5,S,0
92,2,male,29.0,1,0,21.0,S,0
93,3,male,12.0,1,0,11.2417,C,1
94,3,male,11.0,0,0,18.7875,C,0
95,3,female,22.0,0,0,7.75,Q,1
96,2,male,19.0,0,0,10.5,S,0
97,3,male,22.0,1,0,7.25,S,0
98,3,male,33.0,0,0,7.8958,S,0
99,1,male,56.0,0,0,26.55,S,0
100,2,male,1.0,0,2,37.0042,C,1
101,3,male,22.0,0,0,7.7958,S,0
102,3,male,,0,0,7.2292,C,0
103,3,male,,0,0,7.75,Q,0
104,3,male,7.0,4,1,29.125,Q,0
105,3,female,4.0,0,1,13.4167,C,1
106,3,male,70.5,0,0,7.75,Q,0
107,2,male,18.0,0,0,13.0,S,0
108,3,male,20.0,1,1,15.7417,C,1
109,2,male,24.0,2,0,73.5,S,0
110,3,male,,0,0,7.225,C,0
111,2,female,34.0,0,0,10.5,S,1
112,3,female,,0,0,7.75,Q,1
113,1,female,31.0,0,2,164.8667,S,1
114,3,male,30.0,0,0,7.8958,S,0
115,2,male,18.0,0,0,11.5,S,0
116,3,female,9.0,3,2,27.9,S,0
117,1,female,39.0,1,1,79.65,S,1
118,1,female,33.0,1,0,53.1,S,1
119,1,male,70.0,1,1,71.0,S,0
120,1,female,24.0,0,0,69.3,C,1
121,1,female,58.0,0,1,153.4625,S,1
122,3,male,21.0,0,0,7.8542,S,0
123,1,female,17.0,1,0,108.9,C,1
124,3,female,28.0,1,1,14.4,S,0
125,1,female,24.0,0,0,83.1583,C,1
126,3,male,,0,0,7.225,C,0
127,3,male,,1,0,15.5,Q,0
128,3,male,42.0,0,0,8.6625,S,0
129,3,male,18.0,1,0,6.4958,S,0
130,3,female,2.0,0,1,12.2875,S,1
131,2,female,34.0,0,0,13.0,S,1
132,3,male,3.0,4,2,31.3875,S,1
133,1,female,58.0,0,0,146.5208,C,1
134,3,male,32.0,0,0,7.75,Q,0
135,3,male,31.0,0,0,7.925,S,1
136,3,male,,0,0,7.775,S,1
137,2,female,27.0,1,0,13.8583,C,1
138,3,male,11.0,5,2,46.9,S,0
139,2,male,23.0,0,0,13.0,S,0
140,1,male,40.0,0,0,0.0,S,0
141,3,male,,0,0,7.2292,C,0
142,3,female,28.0,0,0,7.8958,S,0
143,2,female,28.0,0,0,13.0,S,1
144,3,male,,1,0,19.9667,S,0
145,3,male,19.0,0,0,10.1708,S,0
146,3,female,30.0,1,1,24.15,S,0
147,3,male,20.0,0,0,7.8542,S,0
148,3,male,28.0,0,0,56.4958,S,0
149,3,male,36.0,0,0,0.0,S,0
150,3,male,,0,0,8.05,S,0
151,1,female,24.0,3,2,263.0,S,1
152,3,male,28.5,0,0,7.2292,C,0
153,3,female,24.0,0,3,19.2583,C,1
154,2,male,42.0,0,0,13.0,S,0
155,1,male,54.0,0,1,77.2875,S,0
156,3,male,25.0,0,0,7.7417,Q,0
157,3,male,7.0,4,1,39.6875,S,0
158,3,male,25.0,1,0,17.8,S,0
159,3,female,27.0,0,1,12.475,S,1
160,3,female,24.0,1,0,15.85,S,1
161,3,male,,0,0,7.25,S,0
162,2,female,28.0,0,0,12.65,S,1
163,3,male,19.0,0,0,14.5,S,0
164,3,male,22.0,0,0,7.25,S,0
165,3,female,,0,0,7.225,C,1
166,3,female,,8,2,69.55,S,0
167,1,male,42.0,0,0,26.2875,S,1
168,2,male,50.0,0,0,13.0,S,0
169,2,male,3.0,1,1,18.75,S,1
170,1,male,,0,0,227.525,C,0
171,3,female,18.0,2,0,18.0,S,0
172,3,male,18.0,1,1,7.8542,S,0
173,1,male,44.0,2,0,90.0,Q,0
174,1,male,,0,0,30.0,S,1
175,1,male,,0,0,42.4,S,0
176,3,male,,1,0,24.15,Q,0
177,3,male,16.0,0,0,7.775,S,0
178,3,male,,0,0,7.3125,S,0
179,3,male,22.0,0,0,7.8958,S,0
180,2,female,4.0,1,1,23.0,S,1
181,2,male,,0,0,13.0,S,1
182,3,male,24.0,0,0,7.1417,S,1
183,2,female,30.0,0,0,12.35,Q,1
184,3,female,29.0,0,2,15.2458,C,1
185,3,male,24.0,0,0,9.5,S,0
186,1,female,45.0,1,1,164.8667,S,1
187,2,female,32.0,0,0,13.0,S,1
188,3,male,21.0,0,0,7.925,S,0
189,1,male,35.0,0,0,512.3292,C,1
190,3,female,,8,2,69.55,S,0
191,3,male,,2,0,23.25,Q,1
192,1,male,36.0,0,1,512.3292,C,1
193,3,female,41.0,0,5,39.6875,S,0
194,3,female,23.0,0,0,7.55,S,1
195,3,male,34.0,1,1,14.4,S,0
196,2,female,,0,0,33.0,S,1
197,3,male,,0,0,24.15,Q,0
198,3,female,15.0,0,0,7.225,C,1
199,3,male,,0,0,8.05,S,0
200,3,female,18.0,0,0,7.775,S,0
201,3,male,30.0,0,0,8.05,S,0
202,2,male,32.0,2,0,73.5,S,0
203,3,male,4.0,4,1,29.125,Q,0
204,3,male,2.0,4,1,29.125,Q,0
205,3,male,,0,0,8.05,S,0
206,3,male,,2,0,21.6792,C,0
207,1,female,48.0,0,0,25.9292,S,1
208,3,male,31.0,0,0,7.75,Q,0
209,1,male,47.0,0,0,34.0208,S,0
210,3,female,26.0,1,0,16.1,S,0
211,3,male,9.0,5,2,46.9,S,0
212,3,male,19.0,0,0,8.05,S,1
213,3,male,,0,0,8.05,S,0
214,3,male,22.0,0,0,9.35,S,0
215,3,male,,0,0,7.225,C,0
216,2,male,28.0,0,1,33.0,S,0
217,2,female,24.0,2,3,18.75,S,1
218,3,male,17.0,0,0,8.6625,S,0
219,3,male,,1,0,15.5,Q,0
220,3,female,,3,1,25.4667,S,0
221,3,male,21.0,0,0,8.05,S,0
222,1,male,51.0,0,0,26.55,S,1
223,3,female,3.0,3,1,21.075,S,0
224,3,female,0.75,2,1,19.2583,C,1
225,3,male,,0,0,7.2292,C,0
226,3,male,34.0,0,0,8.05,S,0
227,2,female,18.0,0,1,23.0,S,1
228,1,female,44.0,0,0,27.7208,C,1
229,3,male,,0,0,14.5,S,0
230,3,male,,0,0,9.5,S,0
231,3,female,37.0,0,0,9.5875,S,0
232,2,male,21.0,1,0,11.5,S,0
233,1,male,36.0,1,0,78.85,S,0
234,3,male,32.0,0,0,7.925,S,1
235,3,female,,1,2,23.45,S,0
236,3,male,26.0,0,0,7.775,S,0
237,1,male,80.0,0,0,30.0,S,1
238,3,male,55.5,0,0,8.05,S,0
239,2,male,60.0,1,1,39.0,S,0
240,3,male,,0,0,7.7333,Q,0
241,3,male,18.0,0,0,7.775,S,0
242,3,female,14.5,1,0,14.4542,C,0
243,2,male,19.0,0,0,10.5,S,1
244,2,female,4.0,2,1,39.0,S,1
245,3,male,33.0,0,0,8.6542,S,0
246,3,male,21.0,0,0,7.7333,Q,0
247,3,female,10.0,0,2,24.15,S,0
248,2,male,47.0,0,0,15.0,S,0
249,3,female,2.0,4,2,31.275,S,0
250,2,female,29.0,1,0,26.0,S,1
251,1,female,22.0,1,0,66.6,S,1
252,3,male,28.0,1,0,15.85,S,0
253,1,male,,0,0,29.7,C,1
254,3,male,26.0,0,0,18.7875,C,1
255,3,male,33.0,0,0,9.5,S,0
256,2,female,27.0,0,0,10.5,S,1
257,3,female,27.0,0,2,11.1333,S,1
258,2,male,34.0,0,0,13.0,S,0
259,3,male,,0,0,7.2292,C,1
260,1,male,30.0,0,0,27.75,C,0
261,3,male,30.0,1,0,16.1,S,0
262,2,female,,0,0,12.35,Q,1
263,3,male,,0,0,7.775,S,0
264,1,female,53.0,2,0,51.4792,S,1
265,3,male,32.0,0,0,7.925,S,0
266,2,male,52.0,0,0,13.0,S,0
267,1,male,52.0,1,1,79.65,S,0
268,3,female,39.0,1,5,31.275,S,0
269,1,female,2.0,1,2,151.55,S,0
270,3,male,44.0,0,0,7.925,S,1
271,2,male,51.0,0,0,12.525,S,0
272,2,male,39.0,0,0,26.0,S,0
273,1,male,46.0,0,0,79.2,C,0
274,1,male,17.0,0,2,110.8833,C,1
275,3,male,30.0,0,0,8.05,S,0
276,3,female,9.0,2,2,34.375,S,0
277,3,male,27.0,0,0,7.7958,S,1
278,3,male,21.0,0,0,8.6625,S,0
279,3,male,,0,0,56.4958,S,0
280,3,male,26.0,0,0,7.8958,S,0
281,3,male,3.0,1,1,15.9,S,1
282,2,male,48.0,0,0,13.0,S,0
283,1,female,36.0,0,0,135.6333,C,1
284,3,female,,1,0,15.5,Q,1
285,2,female,32.5,0,0,13.0,S,1
286,1,female,33.0,0,0,86.5,S,1
287,2,female,22.0,1,2,41.5792,C,1
288,3,male,19.0,0,0,6.75,Q,0
289,3,male,74.0,0,0,7.775,S,0
290,3,male,42.0,0,1,8.4042,S,0
291,1,female,40.0,0,0,153.4625,S,1
292,3,female,35.0,1,1,20.25,S,1
293,3,female,24.0,0,0,8.85,S,0
294,3,male,39.0,0,0,7.925,S,1
295,2,male,32.5,1,0,30.0708,C,0
296,2,male,1.0,2,1,39.0,S,1
297,3,male,34.0,0,0,6.4958,S,0
298,1,male,64.0,1,4,263.0,S,0
299,3,female,25.0,0,0,7.775,S,0
300,3,female,,0,0,8.05,S,0
301,3,male,1.0,1,2,20.575,S,1
302,3,male,45.0,0,0,6.975,S,0
303,2,male,31.0,1,1,26.25,S,0
304,3,female,21.0,1,0,9.825,S,0
305,3,male,25.0,0,0,7.8958,S,0
306,1,female,15.0,0,1,211.3375,S,1
307,3,male,26.0,0,0,7.8875,S,0
308,2,male,30.0,0,0,10.5,S,0
309,1,female,24.0,0,0,69.3,C,1
310,2,male,35.0,0,0,10.5,S,0
311,2,male,70.0,0,0,10.5,S,0
312,1,male,,0,0,0.0,S,0
313,3,male,21.0,0,0,16.1,S,0
314,3,female,18.0,0,1,9.35,S,1
315,3,female,,0,0,8.1375,Q,0
316,3,male,1.0,5,2,46.9,S,0
317,3,female,,8,2,69.55,S,0
318,3,male,26.0,0,0,56.4958,S,1
319,3,male,25.0,1,0,7.775,S,1
320,2,male,,0,0,0.0,S,0
321,3,male,20.0,0,0,9.5,S,0
322,1,female,54.0,1,0,78.2667,C,1
323,3,male,22.0,0,0,8.05,S,0
324,2,male,59.0,0,0,13.5,S,0
325,2,female,54.0,1,3,23.0,S,1
326,1,male,27.0,0,0,30.5,S,1
327,1,male,31.0,1,0,52.0,S,0
328,1,male,22.0,0,0,135.6333,C,0
329,1,male,33.0,0,0,5.0,S,0
330,3,male,6.0,0,1,12.475,S,1
331,3,female,5.0,4,2,31.3875,S,1
332,1,male,39.0,0,0,0.0,S,0
333,3,male,24.5,0,0,8.05,S,0
334,2,male,54.0,0,0,14.0,S,0
335,3,male,,0,0,7.55,S,0
336,3,male,,0,0,7.8958,S,0
337,3,male,30.0,0,0,7.2292,C,0
338,3,female,,0,0,7.8792,Q,1
339,1,female,35.0,0,0,512.3292,C,1
340,1,female,21.0,0,0,77.9583,S,1
341,1,male,32.0,0,0,30.5,C,1
342,3,male,16.0,0,0,9.5,S,0
343,3,female,22.0,0,0,7.25,S,1
344,3,male,,0,0,7.8958,S,0
345,1,male,38.0,1,0,90.0,S,1
346,3,male,,8,2,69.55,S,0
347,2,male,25.0,1,0,26.0,S,0
348,2,female,33.0,1,2,27.75,S,1
349,3,female,,1,0,16.1,S,1
350,1,male,18.0,1,0,108.9,C,0
351,3,male,,1,0,16.1,S,0
352,3,male,,0,0,7.8958,S,0
353,3,male,2.0,4,1,39.6875,S,0
354,3,male,0.42,0,1,8.5167,C,1
355,2,male,26.0,0,0,10.5,S,0
356,3,male,41.0,0,0,7.125,S,0
